"name","code","city","region","state","start_lat","start_lon","turn_lat","turn_lon","length","monitored","BB.stat","SMD.stat","LMD.stat"
"Roslyn Beach","RslynBch","Kodiak","Gulf of Alaska","Alaska",57.627215,-152.326793,57.618023,-152.30955,1.55,TRUE,1,1,1
"Axel Lind West","AxlLndW","","Gulf of Alaska","Alaska",60.786783,-147.7227,60.787883,-147.7239,0.2,FALSE,NA,NA,NA
"Pasagshak Beach","Psgshk","Kodiak","Gulf of Alaska","Alaska",57.466439,-152.471022,57.468872,-152.48738,1.03,TRUE,2,1,1
"Cabin Bay","CbnBay","","Gulf of Alaska","Alaska",60,147,60,147,0.48,FALSE,NA,NA,NA
"Buskin River","BsknRvr","Kodiak","Gulf of Alaska","Alaska",57.756597,-152.48332,57.764207,-152.474023,1,TRUE,2,1,1
"Barge Basin North Bc","BrgBsnNt","Homer","Gulf of Alaska","Alaska",59.616464,-151.452493,59.625048,-151.467707,2,TRUE,2,1,1
"West Bainbridge Passage","WBnbrPsg","","Gulf of Alaska","Alaska",60.168333,-148.127717,60.16895,-148.12915,0.15,FALSE,NA,NA,NA
"Pederson Peninsula","PdrsnPnn","Kenai Fjords National Park","Gulf of Alaska","Alaska",59.8839,-149.71706,59.88014,-149.72784,0.7,TRUE,2,1,1
"Anchor River State Recreation Area","AnchRvRc","Homer","Gulf of Alaska","Alaska",59.774293,-151.867112,59.75685,-151.86149,2,TRUE,1,1,1
"Northwestern Spit","NwstnSpt","Kenai Fjords National Park","Gulf of Alaska","Alaska",59.71129,-149.74113,59.7152,-149.73622,1.8,TRUE,2,1,1
"Head of Passage Canal","HdPsgCnl","Whittier","Gulf of Alaska","Alaska",60.778571,-148.717521,60.784275,-148.717845,0.67,FALSE,NA,NA,NA
"Hallo","Hallo","Kukak","Gulf of Alaska","Alaska",58.45671,-154.0737,58.44767,-154.07214,1,TRUE,2,1,1
"Afognak Beach","AfgnkBch","Seward","Gulf of Alaska","Alaska",60.122395,-149.372362,60.115294,-149.361515,1,FALSE,2,1,1
"Holiday Beach","HldyBch","Kodiak","Gulf of Alaska","Alaska",57.683264,-152.470053,57.687533,-152.476347,0.6,TRUE,2,1,1
"O'Brien Creek Beach","OBnCrk","Chenega","Gulf of Alaska","Alaska",60.07185,-147.99905,60.0704,-147.99316667,0.5,TRUE,2,1,1
"Bishop's Beach Mid","BishopsM","Homer","Gulf of Alaska","Alaska",59.639592,-151.559692,59.637465,-151.540335,1,TRUE,1,1,1
"Fox Farm Beach","FoxFarm","","Gulf of Alaska","Alaska",59.979833,-148.181183,59.96825,-148.176617,1.5,FALSE,1,1,1
"Little Egg Island North","LttlEggN","Cordova","Gulf of Alaska","Alaska",60.42,-146.035,60.418106,-146.018434,0.96561,TRUE,2,1,1
"West Northwest Bay","WNWBay","","Gulf of Alaska","Alaska",60.543267,-147.604667,60.545883,-147.601467,0.4,FALSE,NA,NA,NA
"Peterson Bay","PtrsnBy","Homer","Gulf of Alaska","Alaska",59.578846,-151.305844,59.575351,-151.294255,1,TRUE,1,1,1
"Neptune Bay","NptnBy","Homer","Gulf of Alaska","Alaska",59.5468,-151.41488,59.541467,-151.399483,1,TRUE,2,1,1
"Landing Cove Chowiet","LCChowt","Chowiet Island","Gulf of Alaska","Alaska",56.037197,-156.7403,56.0363,-156.738747,0.1,TRUE,2,1,1
"Spruce Cape","SprcCp","Kodiak","Gulf of Alaska","Alaska",57.825035,-152.327105,57.821144,-152.32717,0.5,TRUE,2,1,1
"Gibson Cove","GbsnCv","Kodiak","Gulf of Alaska","Alaska",57.772688,-152.454024,57.773019,-152.45895,0.49,TRUE,2,1,1
"Kasilof Mouth South","KslfMthS","Cohoe","Gulf of Alaska","Alaska",60.382747,-151.321859,60.388239,-151.310125,0.97,TRUE,2,1,1
"Anchor River S","AnchrRS","Homer","Gulf of Alaska","Alaska",59.77441,-151.867267,59.79444,151.85417,2.2,TRUE,2,1,1
"White Sands","WhSnds","Kodiak","Gulf of Alaska","Alaska",57.840662,-152.441857,57.840374,-152.446573,0.3,TRUE,1,1,1
"Harbor Mouth","HrbrMth","Homer","Gulf of Alaska","Alaska",59.602031,-151.411677,59.603621,-151.416199,0.4,TRUE,2,1,1
"North Twin Bay","NthTwnBy","None","Gulf of Alaska","Alaska",59.974533,-148.1885,59.967317,-148.185833,0.95,FALSE,NA,NA,NA
"Green Island Bay","GrnIndBy","Green Island","Gulf of Alaska","Alaska",60.293447,-147.393592,60.293265,-147.380179,0.93,FALSE,NA,NA,NA
"Mayflower Beach","Myflwr","Kodiak","Gulf of Alaska","Alaska",57.646892,-152.437933,57.651366,-152.43929,0.55,TRUE,2,1,1
"South Bay","SthBy","","Gulf of Alaska","Alaska",60.668761,-147.930643,NA,NA,0.58,TRUE,2,1,1
"Boswell South","BswllS","Cordova","Gulf of Alaska","Alaska",60.380431,-146.088296,60.359725,-146.196969,7.26,TRUE,1,1,1
"West Mummy","WMmmy","Cordova","Gulf of Alaska","Alaska",60.46467,-146.01986,60.46117,-146.01334,1,TRUE,2,1,1
